Uke	Man	Tir	Ons	Tor	Fre	Lør	Søn
1	13.1	15.9	18.8	20.2	17.2	17.5	16
2	15.6	16.5	16.7	15.8	14.9	11.9	11.6
3	11.3	10.9	13.6	15.7	13.7	13.6	13.3
4	13.2	14.4	14.3	15.7	16.8	15.3	14.9
