Dag	Måned	År	Temp	Nedbør	Vind
16	jun	2019	15	7.1	3.4
17	jun	2019	13.9	0.2	5.1
18	jun	2019	14.4	3.4	5.3
19	jun	2019	15.1	0	3.2
20	jun	2019	13.6	0	2.5
21	jun	2019	11.8	2.4	3.5
22	jun	2019	12.4	9.8	3.1
23	jun	2019	13.7	1.9	3
24	jun	2019	14.3	0	1.9
25	jun	2019	14.5	34	1.8
26	jun	2019	13.3	3	3.3
27	jun	2019	14.1	0	3.4
28	jun	2019	14.2	0	2.9
29	jun	2019	14.8	0	4.1
30	jun	2019	14.1	0.6	3.9
01	jul	2019	12.1	24.2	3.8
02	jul	2019	10	13	4.2
03	jul	2019	9.4	11.2	2.5
04	jul	2019	11.9	7.4	3.9
05	jul	2019	11.9	1.3	2.3
06	jul	2019	13.5	6.4	3
07	jul	2019	12.1	2.9	3
08	jul	2019	12.5	3.1	3.4
09	jul	2019	13.8	0.1	2.2
10	jul	2019	15.5	0.1	2.3
11	jul	2019	16.3	0	2.4
12	jul	2019	15.8	0	2.1
13	jul	2019	15.1	0	3.1
14	jul	2019	13.4	0	4
15	jul	2019	14.7	0	4.6
16	jul	2019	15.4	0	2.8
17	jul	2019	15.4	0	2.1
18	jul	2019	15.9	0	3.8
19	jul	2019	16.1	7.9	4.2
20	jul	2019	15	0	1.3
21	jul	2019	14.7	20.4	2.5
22	jul	2019	15.9	3	5.2
23	jul	2019	18.2	1.8	3.6
24	jul	2019	20.6	2.1	2.5
25	jul	2019	22.4	0.3	3.5
26	jul	2019	24.2	0	2.1
27	jul	2019	24.6	0	1.9
28	jul	2019	24.4	0	2.8
29	jul	2019	23.3	0.9	2.5
30	jul	2019	20.6	0	2.6
31	jul	2019	16.2	45.4	1.6
01	aug	2019	18.4	6.9	2.8
02	aug	2019	18.8	0	2.8
03	aug	2019	18	0	2.4
04	aug	2019	17	0	2.4
05	aug	2019	16.4	0	1.8
06	aug	2019	16.5	0	1.8
07	aug	2019	17.7	31.3	2.6
08	aug	2019	17.1	0.9	2.5
09	aug	2019	18.4	0	1.9
10	aug	2019	17.5	5.1	2.9
11	aug	2019	16.8	35.9	2.6
12	aug	2019	14.1	41.8	4.1
13	aug	2019	12.1	17.7	3.6
14	aug	2019	12.4	3.8	2.6
15	aug	2019	14.7	10.9	2.2
16	aug	2019	14.2	14.1	4.1
17	aug	2019	15.4	5.5	5.4
18	aug	2019	15	15.4	4.7
19	aug	2019	14.1	19.3	4.7
20	aug	2019	13.6	24.9	2.6
21	aug	2019	13.2	8.9	2.4
22	aug	2019	14.5	7	4.8
23	aug	2019	15.2	20.7	3.8
24	aug	2019	18	6.9	4.5
25	aug	2019	18.9	0.9	3.8
26	aug	2019	20.9	0	4.7
27	aug	2019	20.8	0.3	3
28	aug	2019	21	2.8	4.1
29	aug	2019	15.3	34.6	3.5
30	aug	2019	15.7	31.5	5.7
31	aug	2019	18.1	52.5	6.9
01	sep	2019	12.6	1	3.4
02	sep	2019	11.5	7.5	3.6
03	sep	2019	11.8	10.8	3.9
04	sep	2019	11.2	11.1	2.1
05	sep	2019	10.3	40.1	4.6
06	sep	2019	11.3	8.1	4.4
07	sep	2019	12.6	4.7	3.9
08	sep	2019	11.9	0	1.6
09	sep	2019	12.7	0	0.8
10	sep	2019	14.8	0	2
11	sep	2019	13	0.8	4.6
12	sep	2019	12.3	20.3	2.4
13	sep	2019	11.3	17.3	3.2
14	sep	2019	11.2	8.7	3.9
15	sep	2019	10.4	75.1	6.7
16	sep	2019	8.9	13.6	2.6
17	sep	2019	8.4	15.5	3.8
18	sep	2019	8.9	11.2	2.8
19	sep	2019	7.2	0.4	2.7
20	sep	2019	10.6	5.8	2.1
21	sep	2019	11.5	2.1	0.9
22	sep	2019	13.4	0	1
23	sep	2019	13.6	0	1.2
24	sep	2019	12.4	0	1.5
25	sep	2019	12.1	0	0.9
26	sep	2019	14	0	4.1
27	sep	2019	14.4	1.9	3.3
28	sep	2019	14.1	3.1	1.6
29	sep	2019	12.6	0	2.4
30	sep	2019	7.9	0.4	5
01	okt	2019	6.4	15.7	1.7
02	okt	2019	9.2	12.6	2.4
03	okt	2019	8.6	0	1.5
04	okt	2019	8.6	0	4
05	okt	2019	5.7	0	1.3
06	okt	2019	5.5	0	1.5
07	okt	2019	6	0	4
08	okt	2019	9.1	4.8	5.8
09	okt	2019	10	1.3	4.8
10	okt	2019	9.7	18	4
11	okt	2019	9.4	17.9	3.4
12	okt	2019	9.3	46.8	2.3
13	okt	2019	8.5	12.3	1.8
14	okt	2019	8.5	3.9	2.3
15	okt	2019	10.1	1.5	2.8
16	okt	2019	11.2	1.5	2
17	okt	2019	10.9	0.3	2.3
18	okt	2019	10	12.3	2
19	okt	2019	8	0	1.2
20	okt	2019	7.6	0.2	0.9
21	okt	2019	6.7	0	3.2
22	okt	2019	9.9	8.7	4.4
23	okt	2019	10.8	62.5	4.7
24	okt	2019	11.5	2.1	4.4
25	okt	2019	6.9	30.7	3.5
26	okt	2019	6.1	9.9	4.4
27	okt	2019	5.8	12.9	2.5
28	okt	2019	4.4	0	1.8
29	okt	2019	3.5	0	2
30	okt	2019	4.8	1.4	2.7
31	okt	2019	6.1	14.9	2.1
01	nov	2019	6.2	5.4	2.8
02	nov	2019	3.3	0	1.5
03	nov	2019	4.4	0	1.4
04	nov	2019	2.7	0	0.9
05	nov	2019	2.4	0	0.8
06	nov	2019	3.4	0.2	1.7
07	nov	2019	3.3	3.8	1.8
08	nov	2019	-0.1	0.1	1.2
09	nov	2019	-1.2	0	1.5
10	nov	2019	-1.6	0	1.3
11	nov	2019	-1.4	0	1
12	nov	2019	3.3	0	1.7
13	nov	2019	3.7	28	1.7
14	nov	2019	1.2	4.3	0.8
15	nov	2019	2.8	0.3	1
16	nov	2019	2.4	0	0.6
17	nov	2019	1.6	0	0.8
18	nov	2019	3.2	0	1.8
19	nov	2019	2.1	0	2.6
20	nov	2019	0.3	0	0.9
21	nov	2019	4.2	0	1.1
22	nov	2019	7.7	0.9	2.5
23	nov	2019	5.9	0.7	1.1
24	nov	2019	5.4	0.3	0.8
25	nov	2019	6.6	0	1.1
26	nov	2019	5.6	1.5	0.9
27	nov	2019	5.2	2.1	0.9
28	nov	2019	4.3	0.8	5.7
29	nov	2019	2.1	0	3.3
30	nov	2019	1.1	10.1	1.8
01	des	2019	1.9	6.6	2.2
02	des	2019	1.5	11.4	2.4
03	des	2019	6.7	5	3.4
04	des	2019	7.8	10	4.8
05	des	2019	7.4	11.4	4.4
06	des	2019	5.5	45.3	1.4
07	des	2019	2.7	13.2	2.4
