Uke	Man	Tir	Ons	Tor	Fre	Lør	Søn
1	6.2	8.3	10	6.9	8.4	6.8	10.1
2	12.1	13	12.9	11.2	13.4	13.2	9.8
3	11.6	8.8	9.5	9.4	10.1	12.2	11.8
4	11.3	13.4	16.4	15.9	13.9	13.6	13.5
