Vin	Distrikt
Gran Feudo Crianza	Navarra
Ch. Bonnet Reserve	Bordeaux
Guerrini Forteguerra Chianti	Toscana
Periquita	Setubal
Canaletteo Chianti	Toscana
Trimbach Riesling	Alsace
Cono Sur Cosecha Noble Late Riesling	Bio-Bio Valley
Kloster Eberbach Marcobrunn Riesling	RheinGau
