Tid	Hastighet
2022-09-29 19:21:18	1.69
2022-09-29 19:21:19	3.35
2022-09-29 19:21:20	3.35
2022-09-29 19:21:20	4.43
2022-09-29 19:21:22	4.43
2022-09-29 19:21:23	1.55
2022-09-29 19:21:24	1.55
2022-09-29 19:21:25	1.55
2022-09-29 19:21:26	2.52
2022-09-29 19:21:27	2.3
2022-09-29 19:21:28	2.3
2022-09-29 19:21:29	0.0
2022-09-29 19:21:30	1.22
2022-09-29 19:21:31	1.15
2022-09-29 19:21:32	1.15
2022-09-29 19:21:33	0.0
2022-09-29 19:21:34	0.0
2022-09-29 19:21:35	0.0
2022-09-29 19:21:36	0.0
2022-09-29 19:21:37	0.0
2022-09-29 19:21:38	0.0
2022-09-29 19:21:39	0.0
2022-09-29 19:21:40	0.0
2022-09-29 19:21:41	0.0
2022-09-29 19:21:42	0.0
2022-09-29 19:21:43	0.0
2022-09-29 19:21:44	9.97
2022-09-29 19:21:45	9.97
2022-09-29 19:21:46	13.25
2022-09-29 19:21:47	21.13
2022-09-29 19:21:48	25.34
2022-09-29 19:21:49	25.34
2022-09-29 19:21:50	28.12
2022-09-29 19:21:51	29.52
2022-09-29 19:21:52	36.25
2022-09-29 19:21:53	36.25
2022-09-29 19:21:54	36.79
2022-09-29 19:21:55	40.57
2022-09-29 19:21:56	44.89
2022-09-29 19:21:57	46.08
2022-09-29 19:21:58	46.48
2022-09-29 19:21:59	47.05
2022-09-29 19:22:00	47.99
2022-09-29 19:22:01	46.55
2022-09-29 19:22:02	31.07
2022-09-29 19:22:03	28.55
2022-09-29 19:22:04	21.78
2022-09-29 19:22:05	7.02
2022-09-29 19:22:06	1.26
2022-09-29 19:22:07	0.0
2022-09-29 19:22:08	0.0
2022-09-29 19:22:09	0.0
2022-09-29 19:22:10	0.0
2022-09-29 19:22:11	0.0
2022-09-29 19:22:12	0.0
2022-09-29 19:22:13	0.0
2022-09-29 19:22:14	0.0
2022-09-29 19:22:15	0.0
2022-09-29 19:22:16	0.0
2022-09-29 19:22:17	0.0
2022-09-29 19:22:18	0.0
2022-09-29 19:22:19	0.0
2022-09-29 19:22:20	0.0
2022-09-29 19:22:21	0.0
2022-09-29 19:22:22	0.0
2022-09-29 19:22:23	0.0
2022-09-29 19:22:24	0.0
2022-09-29 19:22:25	0.0
2022-09-29 19:22:26	0.0
2022-09-29 19:22:27	0.0
2022-09-29 19:22:28	0.0
2022-09-29 19:22:29	0.0
2022-09-29 19:22:30	0.0
2022-09-29 19:22:31	0.0
2022-09-29 19:22:32	0.0
2022-09-29 19:22:33	2.34
2022-09-29 19:22:34	2.74
2022-09-29 19:22:35	2.34
2022-09-29 19:22:36	1.55
2022-09-29 19:22:37	1.04
2022-09-29 19:22:38	0.86
2022-09-29 19:22:39	1.04
2022-09-29 19:22:40	4.21
2022-09-29 19:22:41	10.98
2022-09-29 19:22:42	14.54
2022-09-29 19:22:43	14.54
2022-09-29 19:22:44	15.52
2022-09-29 19:22:45	20.27
2022-09-29 19:22:46	24.7
2022-09-29 19:22:47	24.7
2022-09-29 19:22:48	27.61
2022-09-29 19:22:49	29.66
2022-09-29 19:22:50	31.79
2022-09-29 19:22:51	31.79
2022-09-29 19:22:52	38.66
2022-09-29 19:22:53	42.7
2022-09-29 19:22:54	39.64
2022-09-29 19:22:55	39.92
2022-09-29 19:22:56	37.51
2022-09-29 19:22:57	19.94
2022-09-29 19:22:58	18.65
2022-09-29 19:22:59	14.98
2022-09-29 19:23:00	15.08
2022-09-29 19:23:01	13.39
2022-09-29 19:23:02	11.99
2022-09-29 19:23:03	10.73
2022-09-29 19:23:04	10.08
2022-09-29 19:23:05	10.08
2022-09-29 19:23:06	3.82
2022-09-29 19:23:07	3.82
